# radius         dens           temp        c12          ne22
258
  1.732000E+08  3.397716E+06  9.868804E+07  5.00000E-01  0.00000E+00
  1.740000E+08  3.182984E+06  9.868804E+07  5.00000E-01  0.00000E+00
  1.748000E+08  2.977454E+06  9.868804E+07  5.00000E-01  0.00000E+00
  1.756000E+08  2.780843E+06  9.868804E+07  5.00000E-01  0.00000E+00
  1.764000E+08  2.592865E+06  9.868804E+07  5.00000E-01  0.00000E+00
  1.772000E+08  2.413254E+06  9.868804E+07  5.00000E-01  0.00000E+00
  1.780000E+08  2.241759E+06  9.868804E+07  5.00000E-01  0.00000E+00
  1.788000E+08  2.078125E+06  9.868804E+07  5.00000E-01  0.00000E+00
  1.796000E+08  1.922112E+06  9.868804E+07  5.00000E-01  0.00000E+00
  1.804000E+08  1.773495E+06  9.868804E+07  5.00000E-01  0.00000E+00
  1.812000E+08  1.632047E+06  9.868804E+07  5.00000E-01  0.00000E+00
  1.820000E+08  1.497557E+06  9.868804E+07  5.00000E-01  0.00000E+00
  1.828000E+08  1.369825E+06  9.868804E+07  5.00000E-01  0.00000E+00
  1.836000E+08  1.248650E+06  9.868804E+07  5.00000E-01  0.00000E+00
  1.844000E+08  1.133850E+06  9.868804E+07  5.00000E-01  0.00000E+00
  1.852000E+08  1.025248E+06  9.868804E+07  5.00000E-01  0.00000E+00
  1.860000E+08  9.226730E+05  9.868804E+07  5.00000E-01  0.00000E+00
  1.868000E+08  8.259711E+05  9.868804E+07  5.00000E-01  0.00000E+00
  1.876000E+08  7.349901E+05  9.868804E+07  5.00000E-01  0.00000E+00
  1.884000E+08  6.495960E+05  9.868804E+07  5.00000E-01  0.00000E+00
  1.892000E+08  5.696603E+05  9.868804E+07  5.00000E-01  0.00000E+00
  1.900000E+08  4.950710E+05  9.868804E+07  5.00000E-01  0.00000E+00
  1.908000E+08  4.257297E+05  9.868804E+07  5.00000E-01  0.00000E+00
  1.916000E+08  3.615535E+05  9.868804E+07  5.00000E-01  0.00000E+00
  1.924000E+08  3.024833E+05  9.868804E+07  5.00000E-01  0.00000E+00
  1.932000E+08  2.484851E+05  9.868804E+07  5.00000E-01  0.00000E+00
  1.940000E+08  1.995595E+05  9.868804E+07  5.00000E-01  0.00000E+00
  1.948000E+08  1.557559E+05  9.868804E+07  5.00000E-01  0.00000E+00
  1.956000E+08  1.171896E+05  9.868804E+07  5.00000E-01  0.00000E+00
  1.964000E+08  8.406183E+04  9.868804E+07  5.00000E-01  0.00000E+00
  1.972000E+08  5.666015E+04  9.868804E+07  5.00000E-01  0.00000E+00
  1.980000E+08  3.529158E+04  9.868804E+07  5.00000E-01  0.00000E+00
  1.988000E+08  2.003944E+04  9.868804E+07  5.00000E-01  0.00000E+00
  1.996000E+08  1.037087E+04  9.868804E+07  5.00000E-01  0.00000E+00
  2.004000E+08  5.396564E+03  8.782687E+07  5.00000E-01  0.00000E+00
  2.012000E+08  2.469001E+03  7.719043E+07  5.00000E-01  0.00000E+00
  2.020000E+08  9.623018E+02  6.693392E+07  5.00000E-01  0.00000E+00
  2.028000E+08  3.057688E+02  5.721858E+07  5.00000E-01  0.00000E+00
  2.036000E+08  7.410827E+01  4.821817E+07  5.00000E-01  0.00000E+00
  2.044000E+08  1.252709E+01  4.017987E+07  5.00000E-01  0.00000E+00
  2.052000E+08  1.594234E+00  3.367233E+07  5.00000E-01  0.00000E+00
  2.060000E+08  3.312779E-01  2.979300E+07  5.00000E-01  0.00000E+00
